epoch,accuracy,learning_rate,loss,top_5_accuracy,val_accuracy,val_loss,val_top_5_accuracy
0,0.04841950908303261,0.0010000000474974513,4.441501617431641,0.17235057055950165,0.07933993637561798,4.128423690795898,0.25333333015441895
1,0.11477814614772797,0.0010000000474974513,3.81132435798645,0.3327319324016571,0.12092409282922745,3.8482606410980225,0.3256765604019165
2,0.18311697244644165,0.0010000000474974513,3.4231271743774414,0.44189217686653137,0.14825081825256348,3.8688507080078125,0.38059404492378235
3,0.2396479696035385,0.0010000000474974513,3.1356706619262695,0.5223762392997742,0.18481847643852234,3.5403385162353516,0.45359736680984497
4,0.28557389974594116,0.0010000000474974513,2.906557559967041,0.579083263874054,0.18877887725830078,3.6288063526153564,0.4451485276222229
5,0.33037036657333374,0.0010000000474974513,2.7094457149505615,0.6254492402076721,0.3211881220340729,2.779329538345337,0.6102970242500305
6,0.36447378993034363,0.0010000000474974513,2.5542094707489014,0.6606380343437195,0.32897689938545227,2.760707139968872,0.6246864795684814
7,0.3901136815547943,0.0010000000474974513,2.4441184997558594,0.6841510534286499,0.34943893551826477,2.6757264137268066,0.6415841579437256
8,0.4117785096168518,0.0010000000474974513,2.3391566276550293,0.7048624753952026,0.40778878331184387,2.3502135276794434,0.7033663392066956
9,0.4319031834602356,0.0010000000474974513,2.2503855228424072,0.7228602766990662,0.3943234384059906,2.4164702892303467,0.6910890936851501
10,0.4504877030849457,0.0010000000474974513,2.176102876663208,0.7370443940162659,0.4299669861793518,2.3482630252838135,0.6999340057373047
11,0.46118077635765076,0.0010000000474974513,2.127639055252075,0.7475467324256897,0.4374917447566986,2.2482516765594482,0.7155115604400635
12,0.4755702316761017,0.0010000000474974513,2.066174268722534,0.756464958190918,0.32488447427749634,2.873161792755127,0.6027722954750061
13,0.48511916399002075,0.0010000000474974513,2.0169105529785156,0.7641070485115051,0.39854785799980164,2.4459965229034424,0.6840924024581909
14,0.5293142795562744,0.00020000000949949026,1.8284885883331299,0.7978144288063049,0.544422447681427,1.7857811450958252,0.8026402592658997
15,0.5394059419631958,0.00020000000949949026,1.7774698734283447,0.8068206906318665,0.558547854423523,1.7298996448516846,0.8126732707023621
16,0.549350917339325,0.00020000000949949026,1.7461793422698975,0.8123212456703186,0.5434983372688293,1.7917271852493286,0.8013201355934143
17,0.5504070520401001,0.00020000000949949026,1.7277872562408447,0.8152548670768738,0.5565676689147949,1.7273151874542236,0.8124092221260071
18,0.5574037432670593,0.00020000000949949026,1.711959958076477,0.81812983751297,0.5722772479057312,1.6547563076019287,0.8212541341781616
19,0.5576971173286438,0.00020000000949949026,1.704785704612732,0.8163549900054932,0.5573597550392151,1.7282791137695312,0.8089768886566162
