epoch,accuracy,learning_rate,loss,top_5_accuracy,val_accuracy,val_loss,val_top_5_accuracy
0,0.6549174785614014,9.999999747378752e-06,1.2992408275604248,0.8789879083633423,0.686072587966919,1.253040075302124,0.8846204876899719
1,0.6750714778900146,9.999999747378752e-06,1.2143467664718628,0.8903703689575195,0.6976897716522217,1.2133183479309082,0.8893729448318481
2,0.6901209950447083,9.999999747378752e-06,1.1542129516601562,0.8975284099578857,0.7031022906303406,1.182570219039917,0.893069326877594
3,0.7010487914085388,9.999999747378752e-06,1.118128776550293,0.9026769399642944,0.7081187963485718,1.1587021350860596,0.8954455256462097
4,0.7096883058547974,9.999999747378752e-06,1.0737929344177246,0.9088962078094482,0.7115511298179626,1.1430344581604004,0.8992739319801331
5,0.7184158563613892,9.999999747378752e-06,1.044068455696106,0.9132673144340515,0.7140594124794006,1.1267147064208984,0.9001980423927307
6,0.7234323620796204,9.999999747378752e-06,1.0145924091339111,0.9166116714477539,0.7177557945251465,1.1129215955734253,0.9029703140258789
7,0.7334506511688232,9.999999747378752e-06,0.9812376499176025,0.9208360910415649,0.7233003377914429,1.0973052978515625,0.9044224619865417
8,0.7375284433364868,9.999999747378752e-06,0.9568647146224976,0.9242244362831116,0.724092423915863,1.0923882722854614,0.9067986607551575
9,0.7415621280670166,9.999999747378752e-06,0.9484378695487976,0.9260432720184326,0.7268646955490112,1.0809377431869507,0.9065346717834473
