epoch,accuracy,learning_rate,loss,top_5_accuracy,val_accuracy,val_loss,val_top_5_accuracy,phase
0,0.4705977141857147,0.0010000000474974,2.227315187454224,0.7314704656600952,0.6199340224266052,1.5334765911102295,0.8553135395050049,1
1,0.5634030103683472,0.0010000000474974,1.754038691520691,0.8142574429512024,0.6356435418128967,1.4673572778701782,0.8667986989021301,1
2,0.5814887881278992,0.0010000000474974,1.64391028881073,0.8325192332267761,0.6463366150856018,1.430450201034546,0.8697029948234558,1
3,0.5936633944511414,0.0010000000474974,1.5910112857818604,0.8397799730300903,0.6483168601989746,1.4036386013031006,0.8723432421684265,1
4,0.6001026630401611,0.0010000000474974,1.5494683980941772,0.8434763550758362,0.6506930589675903,1.3920496702194214,0.8715511560440063,1
5,0.605559229850769,0.0010000000474974,1.521748185157776,0.8478621244430542,0.6590098738670349,1.359871506690979,0.8740593791007996,1
6,0.6087568998336792,0.0010000000474974,1.5011905431747437,0.8502236604690552,0.6598019599914551,1.353217363357544,0.8743234276771545,1
7,0.6137293577194214,0.0010000000474974,1.4783823490142822,0.8546388149261475,0.6601980328559875,1.355457067489624,0.8740593791007996,1
8,0.6549174785614014,9.999999747378752e-06,1.2992408275604248,0.8789879083633423,0.686072587966919,1.253040075302124,0.8846204876899719,2
9,0.6750714778900146,9.999999747378752e-06,1.2143467664718628,0.8903703689575195,0.6976897716522217,1.2133183479309082,0.8893729448318481,2
10,0.6901209950447083,9.999999747378752e-06,1.1542129516601562,0.8975284099578857,0.7031022906303406,1.182570219039917,0.893069326877594,2
11,0.7010487914085388,9.999999747378752e-06,1.118128776550293,0.9026769399642944,0.7081187963485718,1.1587021350860596,0.8954455256462097,2
12,0.7096883058547974,9.999999747378752e-06,1.0737929344177246,0.9088962078094482,0.7115511298179626,1.1430344581604004,0.8992739319801331,2
13,0.7184158563613892,9.999999747378752e-06,1.044068455696106,0.9132673144340516,0.7140594124794006,1.1267147064208984,0.9001980423927307,2
14,0.7234323620796204,9.999999747378752e-06,1.0145924091339111,0.916611671447754,0.7177557945251465,1.1129215955734253,0.9029703140258788,2
15,0.7334506511688232,9.999999747378752e-06,0.9812376499176024,0.9208360910415648,0.7233003377914429,1.0973052978515625,0.9044224619865416,2
16,0.7375284433364868,9.999999747378752e-06,0.9568647146224976,0.9242244362831116,0.724092423915863,1.0923882722854614,0.9067986607551576,2
17,0.7415621280670166,9.999999747378752e-06,0.9484378695487976,0.9260432720184326,0.7268646955490112,1.080937743186951,0.9065346717834472,2
